Offer Name,Offer URL Name,Tracking Link
Afrofiliate New Retailer Offer,,https://members.afrofiliate.com/advertiser/signup?oid=24&affid=146
Cashblack - New members earn £5 bonus on first purchase and you earn £5 on their first withdrawal,,https://www.arjdj2msd.com/7LKLK3/2CTPL1/
Cashblack - New members earn $5 bonus on first purchase and you earn $5 on their first withdrawal,,https://www.arjdj2msd.com/7LKLK3/M823SF/
BeautyStat | Science Backed Skincare Solutions,,https://www.arjdj2msd.com/7LKLK3/QWRG9C/
Furi Sport | High-Performance Sportswear & Equipment,,https://www.arjdj2msd.com/7LKLK3/R2Z4H6/
Be Rooted | Inclusive Stationery and Gifts,,https://www.arjdj2msd.com/7LKLK3/R74QP1/
"Kadalys Skincare | Organic, Banana Powered Skincare",,https://www.arjdj2msd.com/7LKLK3/RC9DWS/
Be Yourself 314 | Dance Fitness Apparel ,,https://www.arjdj2msd.com/7LKLK3/24BMB4P/
Endorf | Mushroom Based Health & Wellness Products ,,https://www.arjdj2msd.com/7LKLK3/24D26TB/
Caribe Coffee | Quality Sustainable Coffee,,https://www.arjdj2msd.com/7LKLK3/24R58Q6/
